time,mean.kernel,mean.cox,true.HR,SE.kernel,SE.cox,mean.cox.con,SE.cox.con,bias.kernel,bias.cox,bias.cox.con,r.bias.kernel,r.bias.cox,r.bias.cox.con,MSE.cox,MSE.kernel,ABSE,CI.coverage.percent,mean.cIL.kernel,mean.cIU.kernel,mean.B.q1.kernel,mean.B.q3.kernel,mean.q1.kernel,mean.q3.kernel,cox.ABSE,cox.CI.coverage.percent,mean.cIL.cox,mean.cIU.cox,mean.B.q1.cox,mean.B.q3.cox,IQR.simulations.cox,IQR.boot.cox,IQR.simulations.kernel,IQR.boot.kernel
0,0.897598129,0.859521623,0.5,0.743704744,0.028458157,0.845456334,0.033455823,0.397598129,0.359521623,0.345456334,79.51962578,71.90432465,69.09126684,0.12993492,0.717432846,0.331029223,78.9,0.474588524,1.456719096,0.690314176,1.078810496,0.841116626,0.877815721,0.031350975,0,0.799922862,0.924162664,0.838749124,0.88120568,0.036699095,0.042456556,0.454113743,0.38849632
0.2,0.746431082,0.621691262,0.5,162552.9249,0.066106537,0.845456334,0.033455823,0.246431082,0.121691262,0.345456334,49.28621644,24.33825242,69.09126684,0.019155312,26397058959,0.522896646,100,0.201790616,1.826378874,0.40403781,0.999474385,0.578738736,0.661707827,0.072908041,58.9,0.493983008,0.782828853,0.575163538,0.673051719,0.082969091,0.097888181,0.732709473,0.595436575
0.4,0.570255579,0.577716149,0.5,57371.60163,0.070989626,0.845456334,0.033455823,0.070255579,0.077716149,0.345456334,14.05111589,15.5432299,69.09126684,0.011063224,3288212807,0.357065572,100,0.178302362,1.321148777,0.328745093,0.733089664,0.53091206,0.621326636,0.078532493,84.7,0.443146333,0.754055118,0.528079074,0.633176628,0.090414576,0.105097554,0.446192121,0.404344571
0.6,0.439355066,0.551587652,0.5,30416.51898,0.073721489,0.845456334,0.033455823,-0.060644934,0.051587652,0.345456334,-12.12898679,10.3175304,69.09126684,0.008082626,924240349.1,0.133716291,97.6,0.247994507,0.716833868,0.350406305,0.510016037,0.502655135,0.596224325,0.081537747,92.4,0.413788205,0.736450526,0.500401638,0.60926276,0.09356919,0.108861122,0.140963959,0.159609732
0.8,0.426269847,0.533073465,0.5,23239.16901,0.075377515,0.845456334,0.033455823,-0.073730153,0.033073465,0.345456334,-14.74603058,6.61469301,69.09126684,0.006763179,539519414,0.180686046,99.1,0.214698432,0.785346704,0.325191747,0.516112151,0.482847615,0.578926327,0.083516006,95.1,0.393443651,0.723712335,0.480894834,0.59223581,0.096078712,0.111340976,0.189140858,0.190920404
1,0.419492447,0.518909512,0.5,23711.33135,0.076614651,0.845456334,0.033455823,-0.080507553,0.018909512,0.345456334,-16.10151068,3.781902401,69.09126684,0.006215289,561665505.9,0.196678594,97.6,0.20957396,0.769568841,0.320377456,0.506814979,0.468429758,0.565588195,0.084938487,96.2,0.37804043,0.71386598,0.466035761,0.579110175,0.097158437,0.113074414,0.17555986,0.186437523
1.2,0.424279773,0.507340826,0.5,32442.15756,0.077509032,0.845456334,0.033455823,-0.075720227,0.007340826,0.345456334,-15.14404544,1.468165274,69.09126684,0.006049481,1051442042,0.19213248,91.8,0.245222364,0.681214255,0.347537994,0.487927989,0.455975601,0.554302367,0.086046698,96.7,0.365587308,0.705784689,0.453939923,0.568354232,0.098326765,0.114414308,0.118011947,0.140389994
1.4,0.4247941,0.49761583,0.5,33374.44545,0.078259182,0.845456334,0.033455823,-0.0752059,-0.00238417,0.345456334,-15.04117997,-0.47683407,69.09126684,0.006117941,1112740763,0.200328491,91.6,0.242752224,0.694076269,0.347526903,0.493479748,0.445624581,0.544567201,0.086935047,96.1,0.35523571,0.698889624,0.443838274,0.559275997,0.09894262,0.115437724,0.128739984,0.145952845
1.6,0.42347267,0.489312647,0.5,34227.80933,0.078908333,0.845456334,0.033455823,-0.07652733,-0.010687353,0.345456334,-15.305466,-2.137470678,69.09126684,0.00632819,1170372449,0.203521656,91.7,0.237761289,0.710744719,0.34514465,0.497429995,0.437008345,0.536544777,0.08766097,95.8,0.346458884,0.692951831,0.435275037,0.551517116,0.099536432,0.11624208,0.140916019,0.152285345
1.8,0.422842941,0.482040933,0.5,35998.18787,0.079420436,0.845456334,0.033455823,-0.077157059,-0.017959067,0.345456334,-15.43141173,-3.591813396,69.09126684,0.006617209,1294574841,0.204982634,91.6,0.233446551,0.722864311,0.34244541,0.499961085,0.429011518,0.529148147,0.088272687,95.3,0.338890275,0.68774377,0.427727943,0.544681475,0.100136629,0.116953532,0.146481033,0.157515675
2,0.422677845,0.475540513,0.5,37306.24908,0.079886506,0.845456334,0.033455823,-0.077322155,-0.024459487,0.345456334,-15.46443092,-4.891897321,69.09126684,0.006966772,1390365735,0.207781261,91.8,0.231935806,0.726896846,0.341536932,0.500308282,0.421373564,0.522783648,0.088801855,95,0.332128659,0.683031076,0.421040158,0.538595983,0.101410084,0.117555825,0.148112056,0.158771349
2.2,0.423061036,0.46970176,0.5,38473.34047,0.080249198,0.845456334,0.033455823,-0.076938964,-0.03029824,0.345456334,-15.38779285,-6.059647905,69.09126684,0.007344133,1478719084,0.209848057,91.1,0.230973474,0.728607888,0.340760901,0.500151429,0.414995772,0.517093746,0.089265408,94.5,0.326103965,0.678766229,0.41502753,0.533101877,0.102097975,0.118074346,0.150042359,0.159390528
2.4,0.424543493,0.464454138,0.5,39548.40739,0.080676882,0.845456334,0.033455823,-0.075456507,-0.035545862,0.345456334,-15.09130137,-7.10917236,69.09126684,0.007758001,1562513883,0.208030827,91.6,0.230226242,0.729454899,0.340073948,0.500029348,0.408899637,0.512963386,0.089664823,94,0.320720157,0.67489962,0.409650662,0.528149258,0.104063749,0.118498596,0.152506698,0.1599554
2.6,0.424876311,0.459629908,0.5,40293.74479,0.080941888,0.845456334,0.033455823,-0.075123689,-0.040370092,0.345456334,-15.02473775,-8.074018327,69.09126684,0.008166615,1621963773,0.207791106,91.7,0.229507173,0.729259161,0.339461819,0.499756528,0.404078273,0.507734692,0.090026203,93.7,0.315797804,0.671385759,0.404712221,0.523556705,0.103656419,0.118844484,0.152315631,0.160294709
2.8,0.423952495,0.455171063,0.5,40190.75936,0.081215382,0.845456334,0.033455823,-0.076047505,-0.044828937,0.345456334,-15.20950097,-8.965787332,69.09126684,0.008590385,1613683321,0.207019928,92,0.228828556,0.730494403,0.338943476,0.499772315,0.399656937,0.503315976,0.09034867,93.4,0.311257244,0.66807996,0.40013011,0.519331495,0.10365904,0.119201385,0.151829886,0.160828839
3,0.424624633,0.451054462,0.5,39161.22587,0.081418388,0.845456334,0.033455823,-0.075375367,-0.048945538,0.345456334,-15.07507335,-9.789107572,69.09126684,0.009008982,1532069410,0.210640823,91.3,0.228255815,0.733329914,0.338717508,0.500510519,0.395733046,0.499124749,0.090642669,92.8,0.307049272,0.665024601,0.395915416,0.515411969,0.103391703,0.119496553,0.146130816,0.161793011
3.2,0.426168483,0.447195888,0.5,39096.45713,0.081589033,0.845456334,0.033455823,-0.073831517,-0.052804112,0.345456334,-14.76630341,-10.56082236,69.09126684,0.009428959,1527005824,0.209885371,91.5,0.227705721,0.736658261,0.338424884,0.501549027,0.390989133,0.495502229,0.090912939,92.5,0.303137412,0.662162201,0.391977759,0.511765203,0.104513096,0.119787443,0.144209045,0.163124142
3.4,0.427129444,0.443648469,0.5,39479.86018,0.081746469,0.845456334,0.033455823,-0.072870556,-0.056351531,0.345456334,-14.57411121,-11.27030623,69.09126684,0.009841456,1557102127,0.211827333,91.8,0.226692544,0.739635297,0.337762339,0.501846388,0.387904352,0.491929359,0.091152947,92.1,0.299559322,0.659480289,0.388357823,0.50837654,0.104025007,0.120018717,0.145778695,0.164084049
3.6,0.427260089,0.440246423,0.5,40045.8491,0.081926896,0.845456334,0.033455823,-0.072739911,-0.059753577,0.345456334,-14.54798224,-11.95071548,69.09126684,0.010265529,1602067828,0.213075589,91.9,0.225229934,0.741970679,0.337211387,0.502274315,0.384473548,0.488700796,0.091374727,91.6,0.296140586,0.656901382,0.384878571,0.505129155,0.104227248,0.120250584,0.144333178,0.165062928
3.8,0.426449442,0.437054593,0.5,39909.55488,0.08208439,0.845456334,0.033455823,-0.073550558,-0.062945407,0.345456334,-14.71011157,-12.58908149,69.09126684,0.010682551,1591181252,0.214582828,91.5,0.224051035,0.744391722,0.336383819,0.502512412,0.380807989,0.485785309,0.091580225,91.4,0.292993028,0.654507239,0.381616448,0.502100121,0.10497732,0.120483673,0.144775058,0.166128593
4,0.425111139,0.434123407,0.5,39428.36179,0.082225885,0.845456334,0.033455823,-0.074888861,-0.065876593,0.345456334,-14.97777228,-13.17531861,69.09126684,0.011082978,1553042531,0.215553581,91.3,0.222798921,0.746401586,0.335612528,0.502518616,0.378037916,0.482615619,0.091764186,90.8,0.290096214,0.652296044,0.378624966,0.499307701,0.104577703,0.120682735,0.148699051,0.166906088
4.2,0.423203981,0.431264703,0.5,38416.95982,0.082327349,0.845456334,0.033455823,-0.076796019,-0.068735297,0.345456334,-15.35920373,-13.74705936,69.09126684,0.011484072,1474388274,0.215921974,91.9,0.22134379,0.748588697,0.334639555,0.50238178,0.375190378,0.479913401,0.09194414,90.2,0.287272232,0.650157069,0.375713504,0.496555664,0.104723023,0.12084216,0.147551332,0.167742225
4.4,0.421711135,0.428529132,0.5,37700.50989,0.082457609,0.845456334,0.033455823,-0.078288865,-0.071470868,0.345456334,-15.6577729,-14.29417352,69.09126684,0.011888654,1419908398,0.215420186,91.5,0.21972231,0.751448606,0.333476199,0.502451218,0.372330699,0.477090243,0.092109454,90.1,0.284579636,0.648091915,0.372926976,0.493937551,0.104759545,0.121010575,0.147821259,0.168975019
4.6,0.420631946,0.425956751,0.5,37077.16927,0.082575333,0.845456334,0.033455823,-0.079368054,-0.074043249,0.345456334,-15.8736108,-14.80864986,69.09126684,0.012281988,1373342998,0.214106778,90.6,0.218183716,0.753477485,0.332158734,0.502399488,0.370139567,0.474470118,0.092260657,89.7,0.282034192,0.646121889,0.370342023,0.491468979,0.104330551,0.121126956,0.151444043,0.170240754
4.8,0.419686944,0.42352957,0.5,36271.84309,0.08265473,0.845456334,0.033455823,-0.080313056,-0.07647043,0.345456334,-16.06261127,-15.29408601,69.09126684,0.012660039,1314332129,0.212749999,91.1,0.2164753,0.755506493,0.33102274,0.502448975,0.368017406,0.472203223,0.092402447,89.1,0.279638232,0.644284389,0.367875218,0.489148233,0.104185818,0.121273015,0.149837619,0.171426235
5,0.419631024,0.421215889,0.5,35426.50438,0.082770055,0.845456334,0.033455823,-0.080368976,-0.078784111,0.345456334,-16.07379513,-15.75682213,69.09126684,0.013037929,1253783291,0.217508923,91,0.21496633,0.758609644,0.330210257,0.502762812,0.365440184,0.469362355,0.092531672,88.6,0.277374995,0.642499826,0.365539369,0.486932728,0.103922171,0.121393359,0.154098869,0.172552555
5.2,0.419303109,0.418984951,0.5,34665.73348,0.082877528,0.845456334,0.033455823,-0.080696891,-0.081015049,0.345456334,-16.13937811,-16.20300987,69.09126684,0.013411842,1200512429,0.217420554,90.9,0.213421658,0.761885588,0.329345657,0.5032649,0.363054401,0.467489393,0.092654535,88.4,0.275194191,0.640788824,0.363278438,0.484793537,0.104434992,0.121515098,0.159141156,0.173919242
5.4,0.419526153,0.416831599,0.5,34091.72319,0.08296702,0.845456334,0.033455823,-0.080473847,-0.083168401,0.345456334,-16.09476943,-16.63368013,69.09126684,0.013779846,1161084371,0.21949275,90.9,0.212283391,0.766352085,0.328758698,0.50410347,0.360819685,0.46600525,0.092771709,88,0.27306473,0.639124107,0.361095287,0.482726644,0.105185566,0.121631356,0.157792559,0.175344772
5.6,0.419763665,0.41478312,0.5,34191.76209,0.083049234,0.845456334,0.033455823,-0.080236335,-0.08521688,0.345456334,-16.04726709,-17.04337597,69.09126684,0.014138057,1167908552,0.219685603,91,0.211565536,0.770817685,0.328383167,0.505509435,0.358920064,0.463255122,0.092881948,87.2,0.271063602,0.63755858,0.359038148,0.480772752,0.104335058,0.121734604,0.156185163,0.177126268
5.8,0.419355339,0.412788774,0.5,34003.0789,0.083097862,0.845456334,0.033455823,-0.080644661,-0.087211226,0.345456334,-16.12893217,-17.44224515,69.09126684,0.014489658,1155054187,0.220944914,91.5,0.210841412,0.775985836,0.328313723,0.507164693,0.356596072,0.461036722,0.09299298,86.9,0.26910598,0.636058218,0.357016082,0.478871495,0.10444065,0.121855413,0.159231873,0.178850971
6,0.419012238,0.410868956,0.5,33932.81958,0.083199256,0.845456334,0.033455823,-0.080987762,-0.089131044,0.345456334,-16.19755234,-17.82620876,69.09126684,0.014844692,1150285827,0.224294256,91.9,0.209674509,0.783171069,0.327964154,0.508827546,0.354714866,0.459391386,0.093089367,86.7,0.267243387,0.634554387,0.355093571,0.477009961,0.10467652,0.12191639,0.163078768,0.180863392
6.2,0.418095456,0.409059541,0.5,33890.62705,0.083281656,0.845456334,0.033455823,-0.081904544,-0.090940459,0.345456334,-16.38090877,-18.18809175,69.09126684,0.015183882,1147427046,0.221657768,92.2,0.208171062,0.790524579,0.327498557,0.510371792,0.352872968,0.457492387,0.09318044,86.1,0.265498842,0.633173551,0.353265439,0.475244498,0.104619419,0.121979059,0.163361561,0.182873235
6.4,0.416855911,0.407286567,0.5,33911.07672,0.083347177,0.845456334,0.033455823,-0.083144089,-0.092713433,0.345456334,-16.62881783,-18.54268656,69.09126684,0.015520066,1148812187,0.223231585,92.3,0.206426426,0.798180477,0.326572087,0.512144575,0.350959441,0.454931868,0.093272098,85.4,0.263794905,0.631813073,0.351476296,0.473535434,0.103972428,0.122059138,0.164321756,0.185572488
6.6,0.414906411,0.405542473,0.5,33798.84916,0.083413835,0.845456334,0.033455823,-0.085093589,-0.094457527,0.345456334,-17.01871783,-18.8915055,69.09126684,0.015857277,1141220860,0.224329245,92.8,0.20420302,0.805941447,0.325762424,0.514260516,0.349197991,0.453230422,0.093359505,84.7,0.262102329,0.630453614,0.349717288,0.471854867,0.104032431,0.122137579,0.161609495,0.188498092
6.8,0.414525887,0.403902079,0.5,33807.21358,0.083469836,0.845456334,0.033455823,-0.085474113,-0.096097921,0.345456334,-17.09482253,-19.21958426,69.09126684,0.016178878,1141785783,0.225819537,93.5,0.202200621,0.815756171,0.324997704,0.516676352,0.347633542,0.451140836,0.093439259,84.3,0.260520784,0.629179241,0.348060278,0.470289021,0.103507294,0.122228743,0.159542593,0.191678648
7,0.415499252,0.402284606,0.5,33598.92766,0.083528478,0.845456334,0.033455823,-0.084500748,-0.097715394,0.345456334,-16.90014952,-19.54307871,69.09126684,0.016501826,1127760060,0.226997627,92.9,0.200378058,0.825003971,0.324207578,0.518919842,0.345805196,0.449687486,0.093514949,84,0.258964174,0.627893162,0.346443706,0.468724758,0.10388229,0.122281052,0.158548836,0.194712264
7.2,0.416036883,0.40073976,0.5,33317.61688,0.083607006,0.845456334,0.033455823,-0.083963117,-0.09926024,0.345456334,-16.79262333,-19.85204791,69.09126684,0.016818918,1108954523,0.230090466,92.5,0.19851428,0.834548163,0.32356402,0.520920908,0.344243098,0.448929793,0.093586556,83.8,0.257475888,0.626681574,0.344902548,0.467234431,0.104686696,0.122331883,0.167333398,0.197356887
7.4,0.416456554,0.399246829,0.5,33181.26182,0.083649489,0.845456334,0.033455823,-0.083543446,-0.100753171,0.345456334,-16.70868924,-20.15063421,69.09126684,0.017124317,1099896127,0.234610373,92,0.196045922,0.845704185,0.322886644,0.522778078,0.342416827,0.446932105,0.093655888,83.6,0.256048692,0.625503119,0.343396589,0.465800684,0.104515279,0.122404096,0.169782506,0.199891434
7.6,0.418644998,0.397777872,0.5,33713.70208,0.083660794,0.845456334,0.033455823,-0.081355002,-0.102222128,0.345456334,-16.27100045,-20.44442551,69.09126684,0.017424069,1135478117,0.237381368,92.8,0.193906742,0.855854043,0.32199196,0.525297231,0.341269046,0.445773136,0.093725414,83.4,0.254646493,0.624348434,0.341931062,0.464410522,0.10450409,0.122479459,0.173331979,0.203305271
7.8,0.421533006,0.396376199,0.5,34454.7627,0.083688383,0.845456334,0.033455823,-0.078466994,-0.103623801,0.345456334,-15.69339876,-20.7247602,69.09126684,0.017716917,1185944616,0.242556528,92.8,0.191666419,0.866084186,0.320481178,0.526859173,0.339795288,0.44411389,0.093788601,83.2,0.253321759,0.623242775,0.340506147,0.463068009,0.104318603,0.122561861,0.172566149,0.206377995
8,0.422629479,0.39499189,0.5,35261.85742,0.083710252,0.845456334,0.033455823,-0.077370521,-0.10500811,0.345456334,-15.47410412,-21.00162195,69.09126684,0.018009093,1242156316,0.241149245,93,0.189822976,0.87317779,0.319070586,0.528085216,0.338431037,0.443017803,0.093850798,83,0.251999431,0.622166222,0.339117991,0.46171034,0.104586766,0.122592349,0.177906491,0.20901463
8.2,0.421589971,0.393667682,0.5,34828.58859,0.083738421,0.845456334,0.033455823,-0.078410029,-0.106332318,0.345456334,-15.68200575,-21.26646351,69.09126684,0.018293379,1211818649,0.241656072,93.2,0.187684927,0.88002235,0.318016448,0.529396885,0.33701618,0.441520901,0.093909938,82.6,0.250712567,0.621125899,0.337777262,0.460423873,0.104504721,0.122646611,0.176985034,0.211380437
8.4,0.421648593,0.392371904,0.5,34653.79547,0.083759013,0.845456334,0.033455823,-0.078351407,-0.107628096,0.345456334,-15.67028136,-21.52561923,69.09126684,0.01857379,1199685739,0.242308059,93.5,0.185756341,0.887245304,0.317107965,0.531017297,0.335381169,0.43999521,0.093968122,82.3,0.249490469,0.62010762,0.336475895,0.459168999,0.104614041,0.122693104,0.174471698,0.213909331
8.6,0.42105718,0.391101319,0.5,34935.29482,0.083794329,0.845456334,0.033455823,-0.07894282,-0.108898681,0.345456334,-15.78856391,-21.77973626,69.09126684,0.018854536,1219255452,0.247504269,93.8,0.184602037,0.889232915,0.316578532,0.532267385,0.334261943,0.438719617,0.094022491,82,0.248288416,0.61910613,0.335201207,0.457942935,0.104457674,0.122741729,0.177015358,0.215688853
8.8,0.421049064,0.389856005,0.5,35852.67205,0.083835121,0.845456334,0.033455823,-0.078950936,-0.110143995,0.345456334,-15.79018726,-22.02879902,69.09126684,0.019133865,1284129843,0.245811451,93.6,0.185462755,0.887564248,0.317139174,0.532616559,0.333003693,0.43782422,0.094075365,81.8,0.247084417,0.61811532,0.333964332,0.45673371,0.104820526,0.122769378,0.186331693,0.215477385
9,0.421360071,0.388667986,0.5,36954.33053,0.083844554,0.845456334,0.033455823,-0.078639929,-0.111332014,0.345456334,-15.72798581,-22.26640272,69.09126684,0.019398298,1364258162,0.249967232,93.2,0.184213725,0.901101692,0.316463256,0.536063008,0.331783361,0.436199116,0.094124904,81.6,0.245961567,0.617168415,0.332779126,0.455568001,0.104415755,0.122788875,0.196635278,0.219599752
9.2,0.426302789,0.387495725,0.5,38464.89786,0.083872497,0.845456334,0.033455823,-0.073697211,-0.112504275,0.345456334,-14.73944223,-22.50085502,69.09126684,0.019665108,1478070169,0.257677486,92.9,0.178875526,0.94340769,0.314705209,0.54568531,0.330864665,0.435098757,0.094173455,81.3,0.244857684,0.61623911,0.331614237,0.454442761,0.104234092,0.122828525,0.211404932,0.230980101
9.4,0.431247979,0.386333026,0.5,40283.78044,0.083891297,0.845456334,0.033455823,-0.068752021,-0.113666974,0.345456334,-13.75040425,-22.7333948,69.09126684,0.019930962,1621161680,0.271201681,93.3,0.170716286,1.016350346,0.31221784,0.564326793,0.329794559,0.433880409,0.094219648,81.2,0.243755629,0.615312755,0.330471576,0.453287954,0.10408585,0.122816378,0.234643923,0.252108954
9.6,0.4388341,0.385214557,0.5,42539.00003,0.083912445,0.845456334,0.033455823,-0.0611659,-0.114785443,0.345456334,-12.23317998,-22.95708853,69.09126684,0.020189765,1807758654,0.310565298,92.9,0.155441752,1.168081297,0.308253602,0.597506137,0.328460776,0.432916967,0.094264756,81,0.242709554,0.614436445,0.329366294,0.452192748,0.104456191,0.122826454,0.2704609,0.289252535
9.8,0.452471142,0.384101431,0.5,45743.491,0.083899259,0.845456334,0.033455823,-0.047528858,-0.115898569,0.345456334,-9.505771624,-23.17971379,69.09126684,0.020444081,2090376522,0.397670835,94.8,0.128553213,1.489449566,0.299843397,0.655362662,0.327177101,0.431230749,0.094310803,80.8,0.241674282,0.613554123,0.328253913,0.451110897,0.104053648,0.122856983,0.304258432,0.355519265
10,0.480303115,0.383010187,0.5,51261.51107,0.083927341,0.845456334,0.033455823,-0.019696885,-0.116989813,0.345456334,-3.939376916,-23.39796253,69.09126684,0.020702668,2625101712,0.640213322,97.6,0.059537801,2.289554609,0.276100777,0.739163608,0.32604878,0.430258832,0.094353787,80.4,0.240644239,0.612696473,0.327150106,0.450059575,0.104210053,0.122909469,0.361316942,0.463062831
